# A2,A3,p2,p3,max
1.00000,1.25000,0.20000,0.40000,2.68340
1.00000,1.25000,0.20000,0.60000,3.05584
1.00000,1.25000,0.20000,0.80000,2.61265
1.00000,1.25000,0.40000,0.00000,2.50070
1.00000,1.25000,0.40000,0.20000,3.22803
1.00000,1.25000,0.40000,0.40000,2.33159
1.00000,1.25000,0.40000,0.60000,2.81397
1.00000,1.25000,0.40000,0.80000,3.04947
1.00000,1.25000,0.60000,0.00000,2.50070
1.00000,1.25000,0.60000,0.20000,3.04947
1.00000,1.25000,0.60000,0.40000,2.81397
1.00000,1.25000,0.60000,0.60000,2.33159
1.00000,1.25000,0.60000,0.80000,3.22803
1.00000,1.25000,0.80000,0.00000,2.75826
1.00000,1.25000,0.80000,0.20000,2.61265
1.00000,1.25000,0.80000,0.40000,3.05584
1.00000,1.25000,0.80000,0.60000,2.68340
1.00000,1.25000,0.80000,0.80000,3.11411
1.00000,1.50000,0.00000,0.00000,2.96547
1.00000,1.50000,0.00000,0.20000,2.96563
1.00000,1.50000,0.00000,0.40000,3.26010
1.00000,1.50000,0.00000,0.60000,3.26010
1.00000,1.50000,0.00000,0.80000,2.96563
1.00000,1.50000,0.20000,0.00000,3.00654
1.00000,1.50000,0.20000,0.20000,3.36162
1.00000,1.50000,0.20000,0.40000,2.92851
1.00000,1.50000,0.20000,0.60000,3.30017
1.00000,1.50000,0.20000,0.80000,2.83735
1.00000,1.50000,0.40000,0.00000,2.74970
1.00000,1.50000,0.40000,0.20000,3.47738
1.00000,1.50000,0.40000,0.40000,2.54002
1.00000,1.50000,0.40000,0.60000,3.04179
1.00000,1.50000,0.40000,0.80000,3.28949
1.00000,1.50000,0.60000,0.00000,2.74970
1.00000,1.50000,0.60000,0.20000,3.28949
1.00000,1.50000,0.60000,0.40000,3.04179
1.00000,1.50000,0.60000,0.60000,2.54002
1.00000,1.50000,0.60000,0.80000,3.47738
1.00000,1.50000,0.80000,0.00000,3.00654
1.00000,1.50000,0.80000,0.20000,2.83735
1.00000,1.50000,0.80000,0.40000,3.30017
1.00000,1.50000,0.80000,0.60000,2.92851
1.00000,1.50000,0.80000,0.80000,3.36162
1.00000,1.75000,0.00000,0.00000,3.20417
1.00000,1.75000,0.00000,0.20000,3.20587
1.00000,1.75000,0.00000,0.40000,3.51010
1.00000,1.75000,0.00000,0.60000,3.51010
1.00000,1.75000,0.00000,0.80000,3.20587
1.00000,1.75000,0.20000,0.00000,3.25520
1.00000,1.75000,0.20000,0.20000,3.60969
1.00000,1.75000,0.20000,0.40000,3.17476
1.00000,1.75000,0.20000,0.60000,3.54575
1.00000,1.75000,0.20000,0.80000,3.06833
1.00000,1.75000,0.40000,0.00000,2.99894
1.00000,1.75000,0.40000,0.20000,3.72687
1.00000,1.75000,0.40000,0.40000,2.75931
1.00000,1.75000,0.40000,0.60000,3.27476
1.00000,1.75000,0.40000,0.80000,3.53176
1.00000,1.75000,0.60000,0.00000,2.99894
1.00000,1.75000,0.60000,0.20000,3.53176
1.00000,1.75000,0.60000,0.40000,3.27476
1.00000,1.75000,0.60000,0.60000,2.75931
1.00000,1.75000,0.60000,0.80000,3.72687
1.00000,1.75000,0.80000,0.00000,3.25520
1.00000,1.75000,0.80000,0.20000,3.06833
1.00000,1.75000,0.80000,0.40000,3.54575
1.00000,1.75000,0.80000,0.60000,3.17476
1.00000,1.75000,0.80000,0.80000,3.60969
1.25000,0.50000,0.00000,0.00000,2.31761
1.25000,0.50000,0.00000,0.20000,2.25596
1.25000,0.50000,0.00000,0.40000,2.49953
1.25000,0.50000,0.00000,0.60000,2.49953
1.25000,0.50000,0.00000,0.80000,2.25596
1.25000,0.50000,0.20000,0.00000,2.26153
1.25000,0.50000,0.20000,0.20000,2.61541
1.25000,0.50000,0.20000,0.40000,2.16426
1.25000,0.50000,0.20000,0.60000,2.58910
1.25000,0.50000,0.20000,0.80000,2.22599
1.25000,0.50000,0.40000,0.00000,1.96569
1.25000,0.50000,0.40000,0.20000,2.73183
1.25000,0.50000,0.40000,0.40000,2.07901
1.25000,0.50000,0.40000,0.60000,2.43481
1.25000,0.50000,0.40000,0.80000,2.59396
1.25000,0.50000,0.60000,0.00000,1.96569
1.25000,0.50000,0.60000,0.20000,2.59396
1.25000,0.50000,0.60000,0.40000,2.43481
1.25000,0.50000,0.60000,0.60000,2.07901
1.25000,0.50000,0.60000,0.80000,2.73183
1.25000,0.50000,0.80000,0.00000,2.26153
1.25000,0.50000,0.80000,0.20000,2.22599
1.25000,0.50000,0.80000,0.40000,2.58910
1.25000,0.50000,0.80000,0.60000,2.16426
1.25000,0.50000,0.80000,0.80000,2.61541
1.25000,0.75000,0.00000,0.00000,2.52356
1.25000,0.75000,0.00000,0.20000,2.44940
1.25000,0.75000,0.00000,0.40000,2.74922
1.25000,0.75000,0.00000,0.60000,2.74922
1.25000,0.75000,0.00000,0.80000,2.44940
1.25000,0.75000,0.20000,0.00000,2.50813
1.25000,0.75000,0.20000,0.20000,2.85538
1.25000,0.75000,0.20000,0.40000,2.38974
1.25000,0.75000,0.20000,0.60000,2.82265
1.25000,0.75000,0.20000,0.80000,2.36791
1.25000,0.75000,0.40000,0.00000,2.20832
1.25000,0.75000,0.40000,0.20000,2.97996
1.25000,0.75000,0.40000,0.40000,2.14369
1.25000,0.75000,0.40000,0.60000,2.60809
1.25000,0.75000,0.40000,0.80000,2.80891
1.25000,0.75000,0.60000,0.00000,2.20832
1.25000,0.75000,0.60000,0.20000,2.80891
1.25000,0.75000,0.60000,0.40000,2.60809
1.25000,0.75000,0.60000,0.60000,2.14369
1.25000,0.75000,0.60000,0.80000,2.97996
1.25000,0.75000,0.80000,0.00000,2.50813
1.25000,0.75000,0.80000,0.20000,2.36791
1.25000,0.75000,0.80000,0.40000,2.82265
1.25000,0.75000,0.80000,0.60000,2.38974
1.25000,0.75000,0.80000,0.80000,2.85538
1.25000,1.00000,0.00000,0.00000,2.74317
1.25000,1.00000,0.00000,0.20000,2.66177
1.25000,1.00000,0.00000,0.40000,2.99901
1.25000,1.00000,0.00000,0.60000,2.99901
1.25000,1.00000,0.00000,0.80000,2.66177
1.25000,1.00000,0.20000,0.00000,2.75580
1.25000,1.00000,0.20000,0.20000,3.09844
1.25000,1.00000,0.20000,0.40000,2.62336
1.25000,1.00000,0.20000,0.60000,3.06119
1.25000,1.00000,0.20000,0.80000,2.54676
1.25000,1.00000,0.40000,0.00000,2.45339
1.25000,1.00000,0.40000,0.20000,3.22866
1.25000,1.00000,0.40000,0.40000,2.27407
1.25000,1.00000,0.40000,0.60000,2.80555
1.25000,1.00000,0.40000,0.80000,3.03471
1.25000,1.00000,0.60000,0.00000,2.45339
1.25000,1.00000,0.60000,0.20000,3.03471
1.25000,1.00000,0.60000,0.40000,2.80555
1.25000,1.00000,0.60000,0.60000,2.27407
1.25000,1.00000,0.60000,0.80000,3.22866
1.25000,1.00000,0.80000,0.00000,2.75580
1.25000,1.00000,0.80000,0.20000,2.54676
1.25000,1.00000,0.80000,0.40000,3.06119
1.25000,1.00000,0.80000,0.60000,2.62336
1.25000,1.00000,0.80000,0.80000,3.09844
1.25000,1.25000,0.00000,0.00000,2.97102
1.25000,1.25000,0.00000,0.20000,2.88519
1.25000,1.25000,0.00000,0.40000,3.24885
1.25000,1.25000,0.00000,0.60000,3.24885
1.25000,1.25000,0.00000,0.80000,2.88519
1.25000,1.25000,0.20000,0.00000,3.00410
1.25000,1.25000,0.20000,0.20000,3.34335
1.25000,1.25000,0.20000,0.40000,2.86169
1.25000,1.25000,0.20000,0.60000,3.30276
1.25000,1.25000,0.20000,0.80000,2.74726
1.25000,1.25000,0.40000,0.00000,2.69987
1.25000,1.25000,0.40000,0.20000,3.47770
1.25000,1.25000,0.40000,0.40000,2.44318
1.25000,1.25000,0.40000,0.60000,3.01767
1.25000,1.25000,0.40000,0.80000,3.26707
1.25000,1.25000,0.60000,0.00000,2.69987
1.25000,1.25000,0.60000,0.20000,3.26707
1.25000,1.25000,0.60000,0.40000,3.01767
1.25000,1.25000,0.60000,0.60000,2.44318
1.25000,1.25000,0.60000,0.80000,3.47770
1.25000,1.25000,0.80000,0.00000,3.00410
1.25000,1.25000,0.80000,0.20000,2.74726
1.25000,1.25000,0.80000,0.40000,3.30276
1.25000,1.25000,0.80000,0.60000,2.86169
1.25000,1.25000,0.80000,0.80000,3.34335
1.25000,1.50000,0.00000,0.00000,3.20420
1.25000,1.50000,0.00000,0.20000,3.11550
1.25000,1.50000,0.00000,0.40000,3.49873
1.25000,1.50000,0.00000,0.60000,3.49873
1.25000,1.50000,0.00000,0.80000,3.11550
1.25000,1.50000,0.20000,0.00000,3.25280
